"HUD ID Number","Project Name","Project Address","Project City","Project State","Project ZIP Code","County","Total Number of Units","Total Low-Income Units","Compliance Monitoring Status"
"NYB20151008","CABS SENIOR HOUSING","590 DEKALB AVE","BROOKLYN","NY","11205","Kings County","110","110","Not Indicated"
"NYB20152029","TILDEN GARDENS","2513 TILDEN AVE","BROOKLYN","NY","11266","Kings County","60","60","Not Indicated"
"NYB20161002","149 KENT AVENUE APARTMENTS","149 KENT AVE","BROOKLYN","NY","11249","Kings County","164","33","Not Indicated"
"NYB20161011","CAMBA GARDENS II","560 WINTHROP ST","BROOKLYN","NY","11203","Kings County","252","292","Not Indicated"
"NYB20162007","626 FLATBUSH AVENUE","626 FLATBUSH AVE","BROOKLYN","NY","11225","Kings County","254","51","Not Indicated"
"NYB20162013","BAM SOUTH","300 ASHLAND AVE","BROOKLYN","NY","11217","Kings County","0","0","Not Indicated"
"NYB20171009","BAY PARK ONE COMPANY","2750-2770 WEST 33RD ST","BROOKLYN","NY","11224","Kings County","334","294","Not Indicated"
"NYB20171010","BAY PARK TWO COMPANY","3395-3415 NEPTUNE AVE","BROOKLYN","NY","11224","Kings County","338","292","Not Indicated"
"NYB20175052","NEWPORT GARDENS","165, 169 LOTT AVE","BROOKLYN","NY","11212","Kings County","239","229","Not Indicated"
"NYB20190003","810 FULTON STREET APARTMENTS","810 FULTON STREET","BROOKLYN","NY","11238","Kings County","363","73","Not Indicated"
"NYB20190025","REGINA PACIS","2424 CROPSEY AVENUE","BROOKLYN","NY","11256","Kings County","168","167","Not Indicated"
"NYB20190034","SURF VETS PLACE","2002 SURF AVENUE","BROOKLYN","NY","11224","Kings County","135","134","Not Indicated"
"NYB20200014","HOPE GARDENS","415 EVERGREEN AVENUE","BROOKLYN","NY","11221","Kings County","949","945","Not Indicated"
"NYB20200019","LINWOOD PARK ASSOCIATES LLC","315 LINWOOD STREET","BROOKLYN","NY","11208","Kings County","100","99","Not Indicated"
"NYB20210010","FOUNTAIN SEAVIEW B3 LP","881 ERSKINE STREET","BROOKLYN","NY","11239","Kings County","144","143","Not Indicated"
"NYB20220017","MGX ASSOCIATES PHASE 1 F LLC","461 CHESTER STREET","BROOKLYN","NY","11212","Kings County","174","173","Not Indicated"
"NYB20220019","NEVINS STREET","50 NEVINS STREET","BROOKLYN","NY","11217","Kings County","129","128","Not Indicated"
"NYB20220029","VITAL BROOKDALE","523 EAST 98TH STREET","BROOKLYN","NY","11212","Kings County","160","159","Not Indicated"
"NYB20221012","CASA PASIVA","75 LINDEN STREET","BROOKLYN","NY","11221","Kings County","146","143","Not Indicated"
"NYC19890001","101-3 SO THIRD ST","101 S THIRD ST","BROOKLYN","NY","11249","Kings County","35","34","Not Indicated"
"NYC19890002","UNION COURT","306 UNION AVE","BROOKLYN","NY","11211","Kings County","21","20","Not Indicated"
"NYC19890004","BK 3-Q","1427 FLATBUSH AVE","BROOKLYN","NY","11210","Kings County","30","30","Not Indicated"
